iter	Passed	Remaining
0	1	124
1	2	111
2	3	104
3	3	95
4	4	93
5	5	92
6	6	92
7	7	91
8	8	89
9	9	88
10	10	88
11	11	87
12	12	86
13	13	85
14	14	83
15	15	82
16	16	81
17	17	79
18	18	78
19	19	78
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	37	60
38	38	59
39	39	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	44	50
47	45	49
48	47	48
49	48	48
50	51	49
51	53	49
52	57	51
53	62	53
54	66	54
55	67	53
56	69	52
57	70	50
58	73	50
59	76	50
60	77	49
61	79	48
62	83	49
63	85	47
64	86	46
65	87	45
66	88	43
67	89	42
68	90	40
69	91	39
70	92	37
71	93	36
72	94	34
73	95	33
74	96	32
75	98	31
76	99	29
77	101	28
78	102	27
79	105	26
80	107	25
81	108	23
82	109	22
83	110	21
84	111	19
85	114	18
86	115	17
87	116	15
88	117	14
89	118	13
90	119	11
91	120	10
92	121	9
93	122	7
94	123	6
95	123	5
96	125	3
97	126	2
98	127	1
99	127	0
